Character,Pronoun
ª¢,a
ª¤,i
ª¨,e
ªª,o
ª¦,u
ª«,ka
ª­,ki
ª±,ke
ª¯,ku
ª³,ko
ªµ,sa
ª·,shi
ª»,se
ª¹,su
ª½,so
ª¿,ta
ªÁ,chi
ªÄ,tsu
ªÆ,te
ªÈ,to
ªÊ,na
ªË,ni
ªÍ,ne
ªÎ,no
ªÌ,nu
ªÏ,ha
ªØ,he
ªÒ,hi
ªÛ,ho
ªÕ,fu
ªÞ,ma
ªß,mi
ªá,me
ªâ,mo
ªà,mu
ªä,ya
ªè,yo
ªæ,yu
ªï,wa
ªò,wo
ªó,n
ªé,ra
ªê,ri
ªí,ro
ªì,re
ªë,ru
«¢,a
«¤,i
«¨,e
«¦,u
«ª,o
««,ka
«­,ki
«¯,ku
«±,ke
«³,ko
«µ,sa
«·,shi
«¹,su
«»,se
«½,so
«Ê,na
ì£,ni
«Ì,nu
«Í,ne
«Î,no
«¿,ta
«Á,chi
«Ä,tsu
«Æ,te
«È,to
«Ï,ha
ªØ,he
«Û,ho
«Ò,hi
«Õ,fu
«Þ,ma
«ß,mi
«á,me
«â,mo
«à,mu
«ä,ya
«è,yo
«æ,yu
«ï,wa
«ò,wo
«ó,n
«é,ra
«ê,ri
«ë,ru
«ì,re
«í,ro
